Stock Name,ROE,YOY Earnings (Quarterly),Dept to Equtity Ratio,,,
CVS Health Corporation (CVS),14.36%,14%,74.74,51.3,,
Chevron Corporation (CVX),-0.29%,N/A,31.44,22.01,,
Concho Resources Inc. (CXO),-20.08%,N/A,35.95,31.82,,
"Dominion Resources, Inc. (D)",14.53%,28%,208.72,15.5,,
"Delta Air Lines, Inc. (DAL)",33.31%,-36.3%,71.32,61.84,,
E. I. du Pont de Nemours and Company (DD),23.66%,-9.2%,89.2,34.77,,
Deere & Company (DE),21.72%,-23.8%,506.3,48.79,,
Discover Financial Services (DFS),21.18%,12.6%,225.53,47.71,,
Dollar General Corporation (DG),23.2%,10.1%,59.4,45.68,,
Quest Diagnostics Incorporated (DGX),15.95%,59.2%,80.55,N/A,,
"D.R. Horton, Inc. (DHI)",14.35%,31.2%,46.08,29.49,,
Danaher Corporation (DHR),8.48%,-33.3%,50.23,40,,
The Walt Disney Company (DIS),19.65%,-13.9%,43.43,28.54,,
"Discovery Communications, Inc. (DISCA)",21.94%,38.8%,146.45,27.85,,
"Discovery Communications, Inc. (DISCK)",21.94%,38.8%,146.45,30.09,,
Delphi Automotive PLC (DLPH),44.32%,46.4%,143.72,54.34,,
"Digital Realty Trust, Inc. (DLR)",8.93%,N/A,113.8,34.85,,
"Dollar Tree, Inc. (DLTR)",18.3%,40.5%,117.3,37.74,,
The Dun & Bradstreet Corporation (DNB),N/A,1.7%,N/A,40.92,,
Dover Corporation (DOV),13.67%,13.6%,95.3,30.26,,
The Dow Chemical Company (DOW),16.49%,-98.6%,78.47,37.7,,
"Dr Pepper Snapple Group, Inc. (DPS)",39.24%,-10.8%,210.21,22.73,,
"Darden Restaurants, Inc. (DRI)",25.57%,56.5%,22.34,49.82,,
DTE Energy Company (DTE),9.12%,63.7%,124.03,21.89,,
Duke Energy Corporation (DUK),6.38%,N/A,122.76,21.3,,
DaVita Inc. (DVA),17.55%,N/A,156.49,44.53,,
Devon Energy Corporation (DVN),-34.67%,N/A,98.26,59.4,,
Electronic Arts Inc. (EA),39.63%,N/A,27.9,55.77,,
eBay Inc. (EBAY),87.52%,114.7%,77.33,55.78,,
Ecolab Inc. (ECL),17.88%,75.3%,95.93,17.35,,
"Consolidated Edison, Inc. (ED)",9.1%,17%,110.64,19.08,,
Equifax Inc. (EFX),19.52%,9.9%,98.2,26.17,,
Edison International (EIX),9.35%,N/A,87.82,20.6,,
The Estée Lauder Companies Inc. (EL),29.28%,-4.3%,105.91,26.68,,
Eastman Chemical Company (EMN),19.91%,-6.5%,143.1,31.4,,
Emerson Electric Co. (EMR),N/A,N/A,N/A,32.84,,
"EOG Resources, Inc. (EOG)",-8.15%,N/A,49.97,40.83,,
"Equinix, Inc. (EQIX)",3.42%,N/A,140.87,37.11,,
Equity Residential (EQR),7.91%,-96%,82.11,22.74,,
EQT Corporation (EQT),-1.53%,N/A,36.07,45.61,,
Eversource Energy (ES),8.89%,26.1%,98.94,19.66,,
Express Scripts Holding Company (ESRX),20.39%,85.5%,95.84,38.44,,
"Essex Property Trust, Inc. (ESS)",6.89%,141.6%,87.79,26.56,,
E*TRADE Financial Corporation (ETFC),8.93%,-5.2%,21.73,79.41,,
Eaton Corporation plc (ETN),12.76%,-5.3%,55.46,46.06,,
Entergy Corporation (ETR),-6.53%,N/A,184.36,23.06,,
Envision Healthcare Corporation (EVHC),3.91%,N/A,77.12,55.06,,
Edwards Lifesciences Corporation (EW),26.05%,61%,30.92,50.09,,
Exelon Corporation (EXC),4.38%,-34.2%,130.06,26.43,,
"Expeditors International of Washington, Inc. (EXPD)",24.42%,-3.4%,N/A,24.23,,
"Expedia, Inc. (EXPE)",4.63%,N/A,55.49,46.42,,
Extra Space Storage Inc. (EXR),15.98%,849.9%,165.96,39.24,,
Ford Motor Company (F),15.88%,N/A,488.23,28.81,,
Fastenal Company (FAST),26.68%,6.3%,18.42,39.89,,
"Facebook, Inc. (FB)",19.76%,173.7%,N/A,41.92,,
"Fortune Brands Home & Security, Inc. (FBHS)",17.12%,18%,60.56,26.82,,
Freeport-McMoRan Inc. (FCX),-34.73%,N/A,173.13,84.63,,
FedEx Corporation (FDX),12.92%,10.8%,97.19,39.01,,
FirstEnergy Corp. (FE),-66.19%,N/A,361.35,29.74,,
"F5 Networks, Inc. (FFIV)",30.14%,5%,N/A,44.39,,
"Fidelity National Information Services, Inc. (FIS)",6.12%,95.3%,106.43,24.9,,
"Fiserv, Inc. (FISV)",35.76%,13.8%,179.54,32.43,,
Fifth Third Bancorp (FITB),9.38%,-6.7%,N/A,79.49,,
"Foot Locker, Inc. (FL)",25.23%,19.6%,4.69,56.05,,
"FLIR Systems, Inc. (FLIR)",10.01%,-12.4%,30.8,33.55,,
Fluor Corporation (FLR),10.3%,N/A,49.35,32.51,,
Flowserve Corporation (FLS),8.84%,-8.7%,94.1,34.17,,
FMC Corporation (FMC),12.58%,N/A,96.39,81.65,,
"Twenty-First Century Fox, Inc. (FOX)",20.87%,27.4%,123.31,33.75,,
"Twenty-First Century Fox, Inc. (FOXA)",20.87%,27.4%,123.31,N/A,,
Federal Realty Investment Trust (FRT),12.51%,-14.6%,126.2,36.57,,
"First Solar, Inc. (FSLR)",-6.65%,N/A,4.35,100.82,,
TechnipFMC plc (FTI),5.36%,N/A,50.53,21.03,,
Frontier Communications Corporation (FTR),-7.36%,N/A,396.95,350.42,,
Fortive Corporation (FTV),22.16%,-4.9%,124.79,49.47,,
General Dynamics Corporation (GD),28.2%,4.3%,35.42,48.48,,
General Electric Company (GE),10.34%,-41.8%,169.17,18.49,,
GGP Inc. (GGP),14.9%,21.9%,141.04,52.49,,
"Gilead Sciences, Inc. (GILD)",70.11%,-33.6%,136.06,35.9,,
"General Mills, Inc. (GIS)",29.5%,-1.1%,184.4,31.04,,
Corning Incorporated (GLW),22.82%,N/A,21.36,56.8,,
